ادې	non_verb	interj. / n. f.
ادیب	non_verb	n. m.
ادیره	non_verb	n. f.
اډاپټر	non_verb	n. m.
اډانه	non_verb	n. f.
اډر	non_verb	n. m.
اډر کول	dynamic_compound	v. dyn. comp. trans.
اډر ورکول	regular_simple	v. dyn. comp. trans.
اډرقی	non_verb	n. m.
اډک	non_verb	n. m.
اډه	non_verb	n. f.
اذان	non_verb	n. m.
اذوقه	non_verb	n. f.
ارادتاً	regular_simple	adv.
اراده	non_verb	n. f.
اراده کول	dynamic_compound	v. dyn. comp. trans.
ارادي	non_verb	n. f.
اراضي	non_verb	n. f.
ارام	non_verb	n. m. / adj.
ارام سره	regular_simple	adv.
ارام کول	dynamic_compound	v. dyn. comp. trans.
ارامښت	non_verb	n. m.
ارایه	non_verb	n. f.
اربکی	non_verb	n. m. anim. unisex
اربه	non_verb	n. f.
اربه	non_verb	n. f.
ارت	non_verb	adj.
ارتاو	non_verb	n. m.
ارتاو کول	dynamic_compound	v. stat. comp. trans.
ارتاوول	regular_simple	v. stat. comp. trans.
ارتاوېدل	stative_compound_standard	v. stat. comp. intrans.
ارتباط	non_verb	n. m.
ارتباطي	non_verb	adj.
ارتجاع	non_verb	n. f.
ارتداد	non_verb	n. m.
ارتفاع	non_verb	n. f.
ارتقا	non_verb	n. f.
ارتکاز	non_verb	n. m.
ارتوالی	non_verb	n. m.
ارتول	regular_simple	v. stat. comp. trans.
ارتینه	non_verb	n. f.
ارث	non_verb	n. m.
ارثي	non_verb	adj.
ارچه	non_verb	n. f.
ارچه کاري	non_verb	n. f.
اردلی	non_verb	n. m.
اردو	non_verb	n. m.
اردو یي	non_verb	adj.
ارز	non_verb	n. m.
ارزان	non_verb	adj.
ارزښت	non_verb	n. m.
ارزښتمن	non_verb	adj.
ارزښتناک	non_verb	adj.
ارزول	regular_simple	v. trans.
ارزونه	non_verb	n. f.
ارزېدل	stative_compound_standard	v. intrans.
ارږمی	non_verb	n. m.
ارږمی کښل	regular_simple	v. dyn. comp. trans.
ارشاد	non_verb	n. m.
ارشیف	non_verb	n. m.
ارض	non_verb	n. m.
ارغړول	non_verb	
ارغړېدل	non_verb	
ارغنون	non_verb	n. m.
ارغنون	non_verb	n. m.
ارغواني	non_verb	n. f.
ارغون	non_verb	n. m.
ارکاره	non_verb	n. f.
ارګ	non_verb	n. m.
ارمان	non_verb	n. m.
ارمان کول	dynamic_compound	v. dyn. comp. trans.
ارماني	non_verb	n. f.
ارمټه	non_verb	n. f. anim.
ارمغان	non_verb	n. m.
ارمونیه	non_verb	n. f.
اره	non_verb	n. f.
