lemma,family,rationale,irregular_by_engine,imperfective_stem,perfective_stem,imperfective_root,perfective_root,verified_via
بیانېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بیدېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بیمه کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بیېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بې حس کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بې سده کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بې لارې کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بې موراله کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بې هوشه کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بېرانېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بېرېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بېزاره کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بېزارېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بېسده کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بېلېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
بېهو کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تار په تارېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تازه کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تامینېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تاو کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تاوېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تاییدېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تباه کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تبدیلېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تتر بتر کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تجدیدېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تجلیلېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تحلیلېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تحویلېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تخصیص کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تخڼېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تخېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تدفینېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تر شا کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تر لاسه کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
