translation,book,chapter,verse,file_id,file_name
yousafzai,Zechariah,12,3,1kYiLzWzPw8L2oKZrSDMwg-Nnmnd4c9hf,"yousafzai_zechariah012_verse_003.mp3"
yousafzai,Zechariah,4,4,1ECyVRnWV2SBXuDFAypUFUeDRCkf2sj2v,"yousafzai_zechariah004_verse_004.mp3"
yousafzai,Zechariah,4,14,13ol2Q2cV__1uyuk3qBHH-3kNW8Qz1rVl,"yousafzai_zechariah004_verse_014.mp3"
yousafzai,Zechariah,12,13,1DTyOZUFIdfJFPFA_jZUxjPElHL6h7qLl,"yousafzai_zechariah012_verse_013.mp3"
yousafzai,Zechariah,4,10,1MpOqcvIcrX3WSoj6PJ9WFHypKQYZDuYM,"yousafzai_zechariah004_verse_010.mp3"
yousafzai,Zechariah,12,11,1C72n5KzM_erOhlGAKw5_VwEjw0D6C2gD,"yousafzai_zechariah012_verse_011.mp3"
yousafzai,Zechariah,12,7,1G_TexpwPkGG9aDun4wmfv5fxx4Msmwbx,"yousafzai_zechariah012_verse_007.mp3"
yousafzai,Zechariah,4,1,1cJzK1sfwPs8eoSiDu3EvUh2OAeYN5mzM,"yousafzai_zechariah004_verse_001.mp3"
yousafzai,Zechariah,12,6,1D4ix8EYl9P4v54c7r9tZAJw8IOoKMR6-,"yousafzai_zechariah012_verse_006.mp3"
yousafzai,Zechariah,4,3,1pYhg3P24cdSPFRbHSRKIA9e7t_lAQq5I,"yousafzai_zechariah004_verse_003.mp3"
yousafzai,Zechariah,4,9,1u0gWrwjoBoTxYXf8gigLYPHIJfrvDTif,"yousafzai_zechariah004_verse_009.mp3"
yousafzai,Zechariah,4,2,1xRPOw7HFS_GYqw2uo_X4SSQDBmtU_ff4,"yousafzai_zechariah004_verse_002.mp3"
yousafzai,Zechariah,12,12,1TqnU9xFkQAXPe1X8waPIQW0dyDrboM1L,"yousafzai_zechariah012_verse_012.mp3"
yousafzai,Zechariah,12,4,1pCkpU1GhqI3nXVwgGvSNzUizlkTeo8-i,"yousafzai_zechariah012_verse_004.mp3"
yousafzai,Zechariah,4,8,1qN0JlEAWtLGcP6XIyPRngHhkdsHTnYDS,"yousafzai_zechariah004_verse_008.mp3"
yousafzai,Zechariah,8,8,1zoFTPDcoPYwyAKXRDtDpA2fP6os5kjRW,"yousafzai_zechariah008_verse_008.mp3"
yousafzai,Zechariah,12,10,1xmeWaNT3H2TkcERZ2X5LaPRio8fDl6-4,"yousafzai_zechariah012_verse_010.mp3"
yousafzai,Zechariah,8,20,1Ghy03E2evKSc-sVJBQ4Pyqw_Pc285sWr,"yousafzai_zechariah008_verse_020.mp3"
yousafzai,Zechariah,8,21,17z5XqKLCZ6i6Dz7o1nN7c9OPv2oKTlx6,"yousafzai_zechariah008_verse_021.mp3"
yousafzai,Zechariah,8,23,1Yzq2yYdfu5n1ZX1QFOjFbArEwV99sGSE,"yousafzai_zechariah008_verse_023.mp3"
yousafzai,Zechariah,8,9,19pT8XTDf0U5FiosQcIxfZGZGDXpuOEec,"yousafzai_zechariah008_verse_009.mp3"
yousafzai,Zechariah,12,5,1Xl6uKjoQLOw4cH4O5uTDrtI2Jab-I2xY,"yousafzai_zechariah012_verse_005.mp3"
yousafzai,Zechariah,2,9,10bLRSCj5c3v2oraybmN6omwA0f24d2n2,"yousafzai_zechariah002_verse_009.mp3"
yousafzai,Zechariah,2,8,18Yo_bzF174YeQkALhO2gqDK8mKyXhiXD,"yousafzai_zechariah002_verse_008.mp3"
yousafzai,Zechariah,2,11,12Q0c2ZPTCHCu-IBahQuI80RnbE2fCCaY,"yousafzai_zechariah002_verse_011.mp3"
yousafzai,Zechariah,8,18,1gozZsaydA8y_9x1KF5aL9SowYggrGkVw,"yousafzai_zechariah008_verse_018.mp3"
yousafzai,Zechariah,2,5,1P0p-Uka1MN6U0JCP7GsbcOeTiQufmbQp,"yousafzai_zechariah002_verse_005.mp3"
yousafzai,Zechariah,8,22,1ejm4PTi4OZrqFyLe6pUMqAVKQE87MJQh,"yousafzai_zechariah008_verse_022.mp3"
yousafzai,Zechariah,8,19,16lCVOWF96m1hNP8j0ySerCPNGAc-fO4W,"yousafzai_zechariah008_verse_019.mp3"
yousafzai,Zechariah,8,15,1BqyiZ1Wo0y7kjGhkz2EzDZF4Zf0e6bsv,"yousafzai_zechariah008_verse_015.mp3"
yousafzai,Zechariah,2,4,1deMtMTwuKv2CLyqcfjNox_2ByRwste0F,"yousafzai_zechariah002_verse_004.mp3"
yousafzai,Zechariah,2,10,1zGm_mXvNsBjSsCc2CcjbLAf2uR5LmDeC,"yousafzai_zechariah002_verse_010.mp3"
yousafzai,Zechariah,2,6,1-QLm_Mk9ZUgHPxhZKchdQy1iHp3FKW54,"yousafzai_zechariah002_verse_006.mp3"
yousafzai,Zechariah,8,1,1Jw85FcfVAEyNuIzhOMS06ZgbwpvEiJe3,"yousafzai_zechariah008_verse_001.mp3"
yousafzai,Zechariah,2,12,1IwY9lzqBLt1olymmuZgJM6W_-aFokGc-,"yousafzai_zechariah002_verse_012.mp3"
yousafzai,Zechariah,8,14,1HahQukobcLIPrwOkwToygKBc6RlTuAKL,"yousafzai_zechariah008_verse_014.mp3"
yousafzai,Zechariah,8,2,1KOXeK6c9EiGy919yxmnAekSsf6RRBCvx,"yousafzai_zechariah008_verse_002.mp3"
yousafzai,Zechariah,2,13,1MrLeO_IZw3-njDl1JdulwMMV42Axi2yE,"yousafzai_zechariah002_verse_013.mp3"
yousafzai,Zechariah,8,16,1yaP8nWGDx_cXp3v0zQc6-1ymjYxnTTPw,"yousafzai_zechariah008_verse_016.mp3"
yousafzai,Zechariah,2,3,1TTpL0YOA2SutgvFu63fRbO1SZekY1Fmh,"yousafzai_zechariah002_verse_003.mp3"
yousafzai,Zechariah,2,7,1LD09cmuwgz0qgR3Fjp0T7UsocsqtOYI0,"yousafzai_zechariah002_verse_007.mp3"
yousafzai,Zechariah,2,2,1KJX7oVuq0htxZAMZUACOppHI0MDK6JHT,"yousafzai_zechariah002_verse_002.mp3"
yousafzai,Zechariah,8,17,1-2_u0QqGrq3XmUbihU5l0caYOGxwjKVB,"yousafzai_zechariah008_verse_017.mp3"
yousafzai,Zechariah,8,3,1WSPnZRH0DPXDMDpYaZjoJsE9ppx2NnSa,"yousafzai_zechariah008_verse_003.mp3"
yousafzai,Zechariah,8,7,1UdpMcsatTCR2JVoGIzDTd4z6RSXSS16_,"yousafzai_zechariah008_verse_007.mp3"
yousafzai,Zechariah,2,1,1KYhbOfSgebFvnwnowr6JODLUA8IFs0PP,"yousafzai_zechariah002_verse_001.mp3"
yousafzai,Zechariah,10,3,1l2Qz90LCPV2dSUuVX2xqIb7-YoRrBQLU,"yousafzai_zechariah010_verse_003.mp3"
yousafzai,Zechariah,10,2,1t_SAsrcAYtiacR4eSeYsINNytM-L_9jK,"yousafzai_zechariah010_verse_002.mp3"
yousafzai,Zechariah,8,13,1F3qyB5xQXN-3ZTcyylQNpo6I9qtOlJUB,"yousafzai_zechariah008_verse_013.mp3"
